5.000000000000000000e-01 8.821727456306932558e-01 -5.436503023619032871e-06 8.715302594297247296e+00 6.627325595035805650e-01
5.500000000000000444e-01 8.598754613299406380e-01 3.125962145898297925e-04 8.898618557729575329e+00 7.652251126418010418e-01
5.999999999999999778e-01 8.363594743064796111e-01 6.652551037030048553e-04 9.040340397507410586e+00 8.001566807060702669e-01
6.500000000000000222e-01 8.123822415242064610e-01 1.299131298145663133e-03 9.212521270019559338e+00 9.144007022733120493e-01
6.999999999999999556e-01 7.868509675102425271e-01 2.774637610462557611e-03 9.215176454019895047e+00 1.055501198136790553e+00
7.500000000000000000e-01 7.599781931097370213e-01 4.944908158302251111e-03 9.140046185037530080e+00 1.183231801201795275e+00
8.000000000000000444e-01 7.313232871710801941e-01 7.688580167009541159e-03 9.118164708502252580e+00 1.333160738713305760e+00
8.499999999999999778e-01 7.005923419788092632e-01 1.219815464835364259e-02 8.868829106650311545e+00 1.597392015202236504e+00
9.000000000000000222e-01 6.668806851222243148e-01 1.647748531675663486e-02 8.712684668837869850e+00 2.047916744674309175e+00
1.000000000000000000e+00 6.080241225595788279e-01 2.994698513055948225e-02 7.688083196124659402e+00 4.196947548088537872e+00
